QUESTION_ID,question,category,q_mean_w1,q_top_hit,q_mean_unique_scores_per_cell,q_mean_cell_entropy,l_mean_w1,l_top_hit,l_mean_unique_scores_per_cell,l_mean_cell_entropy,delta_w1_l_minus_q
Q58,"On a scale of 1 to 4, 1 meaning 'Trust completely' and 4 meaning 'Do not trust at all', how much you trust people in this group: your family?","Social Capital, Trust and Organizational Membership",0.14444444444444446,0.8333333333333334,2.0,0.5957262654253502,0.2111111111111111,0.5,2.5,0.7517973063294909,0.06666666666666665
Q108,"On a scale of 1 to 10, 1 meaning 'The government should take more responsibility to ensure that everyone is provided for' and 10 meaning 'People should take more responsibility to provide for themselves', where does your opinion fall?",Economic Values,0.15555555555555556,0.16666666666666666,4.5,1.45336687152996,0.2148148148148148,0.0,3.5,1.1761079993059818,0.059259259259259234
Q166,"On a scale of 1 to 2, 1 meaning 'Yes' and 2 meaning 'No', do you believe in life after death?",Religious Values,0.16666666666666666,0.6666666666666666,2.0,0.557938838028544,0.13333333333333333,0.8333333333333334,1.8333333333333333,0.5033066413506909,-0.033333333333333326
Q159,"On a scale of 1 to 10, 1 meaning 'Completely disagree' and 10 meaning 'Completely agree', how much do you agree or disagree with the following statement: Because of science and technology, there will be more opportunities for the next generation?",Perceptions about Science and Technology,0.16666666666666666,0.0,3.8333333333333335,1.239759416135463,0.2074074074074074,0.16666666666666666,3.8333333333333335,1.2510860185884896,0.040740740740740744
Q131,"On a scale of 1 to 4, 1 meaning 'Very Secure' and 4 meaning 'Not at all secure', how secure do you feel these days in your neighborhood?",Perceptions of Security,0.17777777777777778,0.3333333333333333,2.6666666666666665,0.8927341247428785,0.2111111111111111,0.3333333333333333,3.1666666666666665,1.0662467704391707,0.033333333333333326
Q59,"On a scale of 1 to 4, 1 meaning 'Trust completely' and 4 meaning 'Do not trust at all', how much do you trust people in this group: your neighborhood?","Social Capital, Trust and Organizational Membership",0.18888888888888888,0.5,2.8333333333333335,0.9389439367802082,0.2111111111111111,0.3333333333333333,2.5,0.8064295030073442,0.022222222222222227
Q165,"On a scale of 1 to 2, 1 meaning 'Yes' and 2 meaning 'No', do you believe in God?",Religious Values,0.19999999999999998,0.8333333333333334,2.0,0.6154752525189003,0.39999999999999997,0.3333333333333333,1.8333333333333333,0.4745384341055128,0.19999999999999998
Q2,"On a scale of 1 to 4, 1 meaning 'Very important' and 4 meaning 'Not at all important', how important are friends in your life?","Social Values, Norms, Stereotypes",0.2111111111111111,0.5,2.3333333333333335,0.6965682741405331,0.28888888888888886,0.16666666666666666,3.0,1.0087103559488144,0.07777777777777775
Q177,"On a scale of 1 to 10, 1 meaning 'Never justifiable' and 10 meaning 'Always justifiable', how justifiable is it to claim government benefits to which you are not entitled?",Ethical Values,0.2148148148148148,0.5,3.6666666666666665,1.2223178113433113,0.30370370370370375,0.0,4.0,1.3147374354179708,0.08888888888888896
Q158,"On a scale of 1 to 10, 1 meaning 'Completely disagree' and 10 meaning 'Completely agree', how much do you agree or disagree with the following statement: Science and technology are making our lives healthier, easier, and more comfortable?",Perceptions about Science and Technology,0.21481481481481482,0.0,4.166666666666667,1.3609472474553004,0.16666666666666666,0.0,4.0,1.3321790402101223,-0.04814814814814816
Q106,"On a scale of 1 to 10, 1 meaning 'Incomes should be made more equal' and 10 meaning 'There should be greater incentives for individual effort', where does your opinion fall?",Economic Values,0.21851851851851856,0.0,4.5,1.4708084763221114,0.20740740740740746,0.16666666666666666,3.6666666666666665,1.239759416135463,-0.0111111111111111
Q112,"On a scale of 1 to 10, 1 meaning 'There is no corruption in your country' and 10 meaning 'There is abundant corruption in your country', what are your views on corruption in your country?",Perceptions of Corruption,0.22222222222222218,0.16666666666666666,4.0,1.3147374354179708,0.2851851851851852,0.16666666666666666,4.0,1.3147374354179708,0.06296296296296303
Q46,"On a scale of 1 to 4, 1 meaning 'Very happy' and 4 meaning 'Not at all happy', taking all things together, how would you rate your overall happiness?",Happiness and Wellbeing,0.2222222222222222,0.16666666666666666,2.5,0.7517973063294909,0.2333333333333333,0.5,2.5,0.7715462934230409,0.0111111111111111
Q47,"On a scale of 1 to 5, 1 meaning 'Very good' and 5 meaning 'Very poor', all in all, how would you rate your current state of health?",Happiness and Wellbeing,0.22499999999999998,0.3333333333333333,3.1666666666666665,1.0374785631939927,0.21666666666666667,0.16666666666666666,3.1666666666666665,1.0662467704391707,-0.008333333333333304
Q160,"On a scale of 1 to 10, 1 meaning 'Completely disagree' and 10 meaning 'Completely agree', how much do you agree or disagree with the following statement: We depend too much on science and not enough on faith?",Perceptions about Science and Technology,0.22962962962962963,0.16666666666666666,3.6666666666666665,1.2223178113433113,0.3,0.0,3.6666666666666665,1.2223178113433113,0.07037037037037036
Q121,"On a scale of 1 to 5, 1 meaning 'Very bad' and 5 meaning 'Very good', how would you evaluate the impact of immigrants on the development of your country?",Perceptions of Migration,0.2416666666666667,0.16666666666666666,3.1666666666666665,1.0488051656470192,0.2416666666666666,0.16666666666666666,3.1666666666666665,1.0836883752313222,-8.326672684688674e-17
Q199,"On a scale of 1 to 4, 1 meaning 'Very interested' and 4 meaning 'Not at all interested', how interested are you in politics?",Political Interest and Political Participation,0.24444444444444444,0.6666666666666666,3.0,0.9738271463645113,0.24444444444444444,0.16666666666666666,2.3333333333333335,0.7517973063294909,0.0
Q122,"On a scale of 0 to 2, 0 meaning 'Disagree' and 2 meaning 'Agree', do you agree or disagree with the following statement as it pertains to the effects of immigration on development in this country: Immigration fills important job vacancies?",Perceptions of Migration,0.25000000000000006,0.6666666666666666,2.8333333333333335,0.9389439367802082,0.26666666666666666,0.5,2.5,0.7715462934230409,0.016666666666666607
Q132,"On a scale of 1 to 4, 1 meaning 'Very Frequently' and 4 meaning 'Not at all frequently', how often do the following things occur in your neighborhood: Robberies?",Perceptions of Security,0.25555555555555554,0.6666666666666666,2.6666666666666665,0.8639659174977004,0.35555555555555557,0.3333333333333333,3.0,1.0087103559488144,0.10000000000000003
Q235,"On a scale of 1 to 4, 1 meaning 'Very good' and 4 meaning 'Very bad', how do you view the following political system as a way of governing this country: Having a strong leader who does not have to bother with parliament and elections?",Political Culture and Political Regimes,0.25555555555555554,0.3333333333333333,2.5,0.8290827079133972,0.26666666666666666,0.3333333333333333,2.6666666666666665,0.8639659174977004,0.011111111111111127
Q107,"On a scale of 1 to 10, 1 meaning 'Private ownership of business and industry should be increased' and 10 meaning 'Government ownership of business and industry should be increased', where does your opinion fall?",Economic Values,0.25925925925925924,0.0,4.333333333333333,1.4245986642847817,0.28518518518518515,0.0,3.6666666666666665,1.2223178113433113,0.025925925925925908
Q3,"On a scale of 1 to 4, 1 meaning 'Very important' and 4 meaning 'Not at all important', how important is leisure time in your life?","Social Values, Norms, Stereotypes",0.26666666666666666,0.5,3.0,0.9851537488175378,0.2111111111111111,0.0,2.8333333333333335,0.9389439367802082,-0.05555555555555555
Q236,"On a scale of 1 to 4, 1 meaning 'Very good' and 4 meaning 'Very bad', how do you view the following political system as a way of governing this country: Having experts, not government, make decisions according to what they think is best for the country?",Political Culture and Political Regimes,0.2777777777777778,0.3333333333333333,2.6666666666666665,0.8639659174977004,0.17777777777777773,0.3333333333333333,2.8333333333333335,0.9738271463645113,-0.10000000000000006
Q48,"On a scale of 1 to 10, 1 meaning 'None at all' and 10 meaning 'A great deal', how would you rate yourself regarding the idea that you have free choice and control over your life?",Happiness and Wellbeing,0.2777777777777778,0.0,3.6666666666666665,1.2048762065511598,0.15555555555555556,0.5,3.8333333333333335,1.268527623380641,-0.12222222222222223
Q200,"On a scale of 1 to 3, 1 meaning 'Frequently' and 3 meaning 'Never', how often do you discuss political matters when you get together with your friends?",Political Interest and Political Participation,0.2833333333333334,0.6666666666666666,2.1666666666666665,0.670704284707858,0.3,0.3333333333333333,2.3333333333333335,0.6881458895000097,0.016666666666666607
Q133,"On a scale of 1 to 4, 1 meaning 'Very Frequently' and 4 meaning 'Not at all frequently', how often do the following things occur in your neighborhood: Alcohol consumption in the streets?",Perceptions of Security,0.2888888888888889,0.16666666666666666,2.8333333333333335,0.9389439367802082,0.2222222222222222,0.3333333333333333,2.8333333333333335,0.9276173343271816,-0.06666666666666671
Q114,"On a scale of 1 to 4, 1 meaning 'None of them' and 4 meaning 'All of them', in the following group of people, how many do you think are involved in corruption: Business executives?",Perceptions of Corruption,0.3,0.3333333333333333,2.5,0.8003145006682191,0.2111111111111111,0.6666666666666666,2.5,0.7140098789326847,-0.08888888888888888
Q123,"On a scale of 0 to 2, 0 meaning 'Disagree' and 2 meaning 'Agree', do you agree or disagree with the following statement as it pertains to the effects of immigration on development in this country: Immigration strengthens cultural diversity?",Perceptions of Migration,0.30000000000000004,0.3333333333333333,2.5,0.8003145006682191,0.3666666666666667,0.3333333333333333,2.3333333333333335,0.7427780861778629,0.06666666666666665
Q164,"On a scale of 1 to 10, 1 meaning 'Not at all important' and 10 meaning 'Very important', how important do you think God is in your life?",Religious Values,0.3111111111111111,0.0,3.8333333333333335,1.268527623380641,0.23703703703703707,0.16666666666666666,4.166666666666667,1.3783888522474521,-0.07407407407407404
